,Unnamed: 0,Name,Keywords (10),Top Keywords List,Top Keywords,region,Price_range,lun_di,save,Category,Category_1,Location_y,Location_1,Label,Rating,Review,avg_lunch,avg_dinner,min_lunch,max_lunch,min_dinner,max_dinner,region_1
104,104,제이드앤워터 (Jade & Water),"음식, 파스타, 메뉴, 분위기, 맛있어요, 와인, 맛있었어요, 다른, 리가토니, 몬테","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은",서울특별시 성동구 한림말3길,점심 1 - 3만원 · 저녁 2 - 5만원,저녁,"8,339",브런치,양식,옥수,성동구,예약,4.6,754,20000.0,35000.0,10000.0,30000.0,20000.0,50000.0,서울특별시 성동구 한림말3길
105,105,제제,"음식, 메뉴, 딤섬, 맛있었어요, 식사, 맛있고, 우창, 추천, 가격, 간이","['음식이 맛있는', '추천하는']","음식이 맛있는, 추천하는",서울특별시 성동구 서울숲길,점심 저녁 동일가 1 - 3만원,저녁,"2,106",중식,중식,서울숲,성동구,예약,4.4,183,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 서울숲길
106,106,젤코바세라타,"와인, 메뉴, 음식, 파스타, 서비스, 감자, 맛있었어요, 예약, 좋은, 아이스크림","['주류', '음식이 맛있는', '서비스 좋은']","주류, 음식이 맛있는, 서비스 좋은",서울특별시 성동구 왕십리로16길,점심 1 - 2만원 · 저녁 1 - 4만원,저녁,"1,561",와인,주류,성수,성동구,예약,4.8,111,15000.0,25000.0,10000.0,20000.0,10000.0,40000.0,서울특별시 성동구 왕십리로16길
107,107,주052,"음식, 메뉴, 분위기, 전통주, 좋았어요, 플레이, 좋은, 최고, 맛있었고, 서비스","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 음식이 맛있는",서울특별시 성동구 고산자로14길,점심 1 - 3만원 · 저녁 1 - 4만원,저녁,"8,987",한식,한식,왕십리,성동구,예약,4.7,592,20000.0,25000.0,10000.0,30000.0,10000.0,40000.0,서울특별시 성동구 고산자로14길
108,108,진작다이닝,"음식, 분위기, 메뉴, 좋고, 파스타, 맛있게, 깔끔하고, 사진, 예약, 테이블","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 왕십리로14나길,점심 저녁 동일가 1 - 3만원,점심,"5,742",일식,일식,성수,성동구,예약,4.5,331,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 왕십리로14나길
109,109,차만다 서울숲점,"음식, 분위기, 식사, 영국, 맛있었어요, 메뉴, 창가, 서울숲, 시간, 예약","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은",서울특별시 성동구 서울숲2길,점심 저녁 동일가 1 - 5만원,점심,"2,845",유러피안음식,양식,서울숲,성동구,예약,4.6,283,30000.0,30000.0,10000.0,50000.0,10000.0,50000.0,서울특별시 성동구 서울숲2길
110,110,청주한씨,"음식, 메뉴, 친구, 맛있고, 생일, 시간, 전통주, 코스, 식사, 좋았습니다","['주류', '음식이 맛있는', '특별한 날']","주류, 음식이 맛있는, 특별한 날",서울특별시 성동구 연무장길,점심 영업안함 · 저녁 4.2만원,저녁,"7,752",전통주,주류,성수,성동구,예약,4.6,483,영업안함,42000.0,,,42000.0,42000.0,서울특별시 성동구 연무장길
111,111,칠칠칠 chillchillchill,"와인, 메뉴, 분위기, 음식, 타르, 추천, 칠칠칠, 좋은, 서비스, 파스타","['서비스 좋은', '주류', '분위기 좋은', '추천하는']","서비스 좋은, 주류, 분위기 좋은, 추천하는",서울특별시 성동구 연무장길,점심 1 - 2만원 · 저녁 1 - 3만원,저녁,"6,241",양식,양식,성수,성동구,예약,4.8,310,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울특별시 성동구 연무장길
112,112,코치 성수점,"음식, 서비스, 메뉴, 꼬치, 야키토리, 코스, 분위기, 추천, 맛있게, 맛있는","['서비스 좋은', '음식이 맛있는', '분위기 좋은', '추천하는']","서비스 좋은, 음식이 맛있는, 분위기 좋은, 추천하는",서울특별시 성동구 성덕정17길,점심 영업안함 · 저녁 1 - 3만원,저녁,"8,146",야키토리,일식,성수,성동구,예약,4.8,194,영업안함,20000.0,,,10000.0,30000.0,서울특별시 성동구 성덕정17길
113,113,퀴바라 qui va la,"음식, 와인, 시간, 좋은, 분위기, 서비스, 최고, 느낌, 맛있게, 맛있었어요","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 음식이 맛있는",서울특별시 성동구 성수일로1길,점심 저녁 동일가 1 - 5만원,저녁,"5,775",프랑스음식,양식,성수,성동구,예약,4.8,433,30000.0,30000.0,10000.0,50000.0,10000.0,50000.0,서울특별시 성동구 성수일로1길
