Name,Category_Location,Rating,Review,Description,Price_Range
노티드 청담,케이크 • 도산공원,4.7,(63),우유생크림 도넛이 시그니처인 프리미엄 디저트 카페,픽업가 2 - 4만원
노티드 신세계백화점 강남점,케이크 • 반포,NA,NA,우유생크림 도넛이 시그니처인 프리미엄 디저트 카페,픽업가 2 - 4만원
레인리포트,케이크 • 이태원,4.8,(10),,픽업가 3.8만원
노티드 강남 카카오,케이크 • 강남,4.4,(32),우유생크림 도넛이 시그니처인 프리미엄 디저트 카페,픽업가 2 - 4만원
노티드 홍대AK플라자,케이크 • 홍대,NA,NA,우유생크림 도넛이 시그니처인 프리미엄 디저트 카페,픽업가 2 - 4만원
노티드 현대백화점 무역센터,케이크 • 삼성,NA,NA,우유생크림 도넛이 시그니처인 프리미엄 디저트 카페,픽업가 2 - 4만원
챱챱케이크,케이크 • 교대,4.5,(5),주문제작 레터링 케이크 No.1 챱챱케이크,픽업가 1 - 2만원
노티드 삼성,케이크 • 삼성,4.7,(27),우유생크림 도넛이 시그니처인 프리미엄 디저트 카페,픽업가 2 - 4만원
파이인더샵,케이크 • 연남,4.9,(13),매일 직접 만드는 수제 버터바 파이가 맛있는 디저트 카페,픽업가 6 - 7만원
앙시끄엠,케이크 • 합정,5.0,(3),"프랑스 브와롱 앰버서더, 꼬르동 블루 출신 파티시에가 운영하는 프리미엄 디저트 샵",픽업가 2 - 5만원
카페 레이어드 안국점 (당일픽업),케이크 • 북촌,NA,NA,"유럽의 한 가정집의 따스함, 찰나의 스치는 런던과 파리의 빈티지한 무드를 담은 카페",픽업가 2.4만원
