Name,Rating,Review,Description,Price_Range,Label,Category,Location
문화식당 신당점,4.7,30,맛있는 음식과 캐주얼한 분위기의 신당동 깔끔한 양식당,점심 저녁 동일가 1 - 3만원,1,파스타,신당
하타네 연남점,4.2,6,일본 현지 스낵바의 감성을 현대식으로 재해석한 안주 맛집,점심 영업안함 · 저녁 1 - 3만원,1,이자카야,연남
545 (오사오),5.0,23,"한식 기반의 다채로운 요리들과 5도부터 45도까지 다양한 우리술을 즐길 수 있는 한국식 퓨전 다이닝 펍 입니다. 545만의 시그니처 퓨전 한식 음식과 직접 양조한 막걸리, 우리술 칵테일이 준비되어 있습니다.",점심 저녁 동일가 1 - 3만원,1,"칵테일,위스키",연남
르디바인,5.0,7,"프랑스식 캐쥬얼 와인바르디바인은 와인이라는 매개체를 통해 바쁜 일상 속 휴식과 살롱문화를 제공하고자 합니다. 방문하시는 분들이 먼저는 내가 어떤 걸 좋아하는지 나를 알아가는 과정을 시작으로, 살롱 문화와 예술을 즐기며 새로운 경험을 할 수 있는 공간을 만들어가겠습니다",점심 저녁 동일가 1 - 3만원,1,와인,망원
을지루이스 와인바,5.0,1,영국인이 만드는 음식과 디저트가 있는 을지로 충무로 와인바,점심 저녁 동일가 1 - 3만원,1,와인,을지로
퍼기포레스트,4.8,4,바로 요리한 멕시칸 요리를 고급스러운 라틴 분위기와 함께 즐길 수 있는 레스토랑,점심 영업안함 · 저녁 1 - 3만원,1,멕시코음식,서교
노을길 편백찜＆샤브샤브,4.9,6,자연을 담은 공간에 정성을 담은 식당,점심 저녁 동일가 1 - 3만원,1,샤브샤브,잠실
우사기,4.8,31,여유로운 분위기에서 다채로운 일본 요리를 즐길 수 있는 이자카야,점심 영업안함 · 저녁 1 - 3만원,1,이자카야,마곡
dst.club(디에스티클럽) 송리단길,4.8,72,미슐랭 투스타 출신 셰프의 기개맥힌 이탈리아 음식과복작복작 신나는 공연이 있는 정체불명의 귀여운 공간!,점심 영업안함 · 저녁 1 - 3만원,1,와인,석촌
토미타야,5.0,1,맛있는 음식과 좋은 음악 따듯한 분위기와 세련미가 돋보이는 신개념 다이닝,점심 1 - 2만원 · 저녁 1 - 3만원,1,일식,논현
신팡이,5.0,313,"제주 흑돼지 뼈갈비살, 돈마구로살 등 다양한 돼지 부위를 맛있게 먹을 수 있는 제주 흑돼지 맛집",점심 1 - 2만원 · 저녁 1 - 3만원,1,돼지고기구이,왕십리
노우즈 여의도,4.1,12,"도심 속에 쉼터 같은 공간, 노우즈 7번째 매장 노우즈 여의도점",점심 저녁 동일가 1 - 3만원,1,브런치,여의도
누메로도스,4.4,21,리조또와 파스타가 맛있는 성수 누메로도스,점심 저녁 동일가 1 - 3만원,1,이탈리아음식,성수
케이브 제페니즈 다이닝 이자카야,4.3,2,일식을 베이스로한 다양한 요리로 식사와 모임이 가능한 모던한 공간,점심 1 - 2만원 · 저녁 1 - 3만원,1,일식,여의도
와포바인,4.8,4,20년 이상 현직 소믈리에가 운영하는 럭셔리 와인바,점심 영업안함 · 저녁 1 - 3만원,1,와인,방이
지노스 뉴욕 피자 압구정점,5.0,2,서울에서 정통 뉴욕식 피자를 맛볼 수 있는 공간,점심 저녁 동일가 1 - 3만원,1,피자,압구정
막걸리너리,5.0,2,리코타 치즈 막걸리와 모듬 육전이 너무나 잘 어울리는 멋진 한국적인 공간,점심 저녁 동일가 1 - 3만원,1,한식,신사
