,Unnamed: 0,Name,Rating,Review,Description,Price_Range,Label,Category,Location,Location_1,Category_1,점심,저녁,픽업,min,max
1435,1435,임금돼지 잠실,4.9,32,<솔잎훈연> 하이앤드 특수품종 YBD금돼지 전문점,점심 저녁 동일가 1 - 3만원,예약,돼지고기구이,석촌,송파구,한식,1 - 3만원,1 - 3만원,,1,3
1436,1436,녹사 다이닝,5.0,10,분위기와 뷰 모두 근사한 양식 다이닝,점심 저녁 동일가 1 - 3만원,예약,유러피안음식,이태원,용산구,양식,1 - 3만원,1 - 3만원,,1,3
1437,1437,잇포 서울,4.8,7,2주마다 메뉴가 바뀌는 귀여운 가게,점심 영업안함 · 저녁 1 - 3만원,예약,이자카야,강서,강서구,일식,영업안함,1 - 3만원,,1,3
1438,1438,코너스토어,4.7,18,유럽의 맛을 그대로 재현한 양식 전문점,점심 저녁 동일가 1 - 3만원,예약,이탈리아음식,회현,중구,양식,1 - 3만원,1 - 3만원,,1,3
1439,1439,예맥관,4.4,12,"숙성 우리흑돈 미식경험, 숯불구이 전문점",점심 저녁 동일가 1 - 3만원,예약,돼지고기구이,종로,종로구,한식,1 - 3만원,1 - 3만원,,1,3
1440,1440,하리,4.8,29,점심에는 피타샌드위치 저녁엔 와인바를 운영하는 다이닝,점심 1 - 2만원 · 저녁 1 - 3만원,예약,와인,삼각지,용산구,주류,1 - 2만원 ·  1 - 3만원,1 - 2만원 -  1 - 3만원,,1,2
1441,1441,초대창 잠실새내점,4.8,1,고소하고 쫄깃한 양대창을 잠실새내점에서 만나보세요!,점심 영업안함 · 저녁 1 - 3만원,예약,"곱창,막창",잠실새내,송파구,한식,영업안함,1 - 3만원,,1,3
1442,1442,뉴질랜드스토리,4.7,22,"석촌호수 15년 전통의 브런치 맛집. 천연 향신료로 맛을 내어 건강하고 맛있는 음식. 해산물스튜와 닭갈비 플래터, 계절별 샌드위치와 샐러드 플래터, 다양한 음료를 선보이는 곳",점심 저녁 동일가 1 - 3만원,예약,브런치,잠실,송파구,양식,1 - 3만원,1 - 3만원,,1,3
1443,1443,매치스 성수,4.8,178,"윌로뜨 이승준 셰프 본인이 가고 싶어 프랑스,스페인의 감성을 오롯이 담아낸 러스틱한 요리와 합리적인 가격으로 선셋까지 아름다운 7층에 오픈한 성수 와인바.",점심 영업안함 · 저녁 1 - 3만원,예약,와인,성수,성동구,주류,영업안함,1 - 3만원,,1,3
1444,1444,아따(ADDA) 한식주점 [압구정점],5.0,114,한식을 재해석한 다양한 메뉴들과 전통주가 함께하는 컨템포러리 한식 다이닝 바. 트렌디 하지만 깊이있는 음식과 술을 통해 색다른 미식의 세계를 경험하세요.,점심 영업안함 · 저녁 1 - 3만원,예약,한식,압구정로데오,강남구,한식,영업안함,1 - 3만원,,1,3
1445,1445,선셋포인트,5.0,2,서울에서 즐기는 휴양지 분위기의 라운지바,점심 영업안함 · 저녁 1 - 3만원,예약,"칵테일,위스키",장안,동대문구,주류,영업안함,1 - 3만원,,1,3
1446,1446,리틀 올리브,4.9,75,성내동 조용한 주택가에 위치한 아담한 공간에서 즐기는 정통 스페니쉬와 이탈리안푸드! 발렌시아에서 배워 재해석한 정통 스페인음식과 어우러지는 파스타를 선보입니다.,점심 영업안함 · 저녁 1 - 3만원,예약,스페인음식,성내,강동구,양식,영업안함,1 - 3만원,,1,3
1447,1447,우노와인,4.7,30,다양한 음식과 와인을 곁들이며 좋아하는 사람들과 행복한 시간을 보낼 수 있는 감각적인 공간,점심 영업안함 · 저녁 1 - 3만원,예약,와인,성신여대,성북구,주류,영업안함,1 - 3만원,,1,3
1448,1448,더스테이크 쥬벤쿠바,4.7,9,아메리칸 스타일의 음식과 고급스럽고 힙한 분위기를 즐길 수 있는 공간,점심 저녁 동일가 1 - 3만원,예약,아메리칸음식,연남,마포구,양식,1 - 3만원,1 - 3만원,,1,3
1449,1449,프로젝디,4.6,65,동대문 프로젝디 서울펍 루프탑 근사한 술집,토/일 런치운영 / 대관 및 단체 전화예약가능 · 저녁 1 - 3만원,예약,"맥주,호프",동대문,동대문구,주류,토/일 런치운영 / 대관 및 단체 전화예약가능 ·  1 - 3만원,토/일 런치운영 / 대관 및 단체 전화예약가능 -  1 - 3만원,,1,3
1450,1450,uptempo,4.7,37,서울 하늘과 남산타워를 한눈에 즐기는 cafe & bar,점심 저녁 동일가 1 - 3만원,예약,양식,경리단길,용산구,양식,1 - 3만원,1 - 3만원,,1,3
1451,1451,잠연,4.0,2,삼각지역 숨겨진 로컬맛집 한식요리와 다양한 전통주를 만날 수 있는 아늑한 바,점심 영업안함 · 저녁 1 - 3만원,예약,전통주,삼각지,용산구,주류,영업안함,1 - 3만원,,1,3
