,shop_name,shop_rating,r_num,Category,Location,region,Price_range,nickname,user_rating,lun_di,times,review,save
30,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,재능있는 맛사냥꾼_6764,5.0 ,점심,2024.06.05,예약하고 방문했는데 오분정도늦어도 바로 들여보내주셨습니다 안에 직원들이 일본어로 반갑게 맞아주는데 활기차고 친절하십니다 음식은 늦게나오는데 고기를 구워야되는 특성상 이해할수밖에 없더라고요.. 그사이에 밑반찬 종류가많아서 이것저것 먹다보면 고기 3덩어리를 주십니다 일본에서 매번 예약 실패해서 못먹을줄알았는데 대만족이요!!  ,"3,065"
31,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,별라라라,5.0 ,점심,2024.04.28,일본에서도 유명한 식당이어서 일본식 함박을 제대로 먹은 느낌이어서 좋았습니다.  육즙이 가득한 함박과 고슬고슬한 고시히카리밥에 너무나 맛있었던 미소시루~! 다양한 소스류 날계란도 안비리고 맛있었어요.  바로앞에 굽는 함박보는것도 묘미였어요. 추천합니다.  ,"3,065"
32,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,jijunseoyeon,5.0 ,저녁,2024.05.31,한입 베어무는 순간 육즙이 가득해서 진짜 놀랐어요! 먹어본 함바그중에 제일 맛있었습니다! 남녀노소 누구나 다 좋아할 것 같아 지인들 모두 데려와보고 싶어요! 다음에 기회되면 또 예약하고 방문할 예정입니다~~!  ,"3,065"
33,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,연두둗,5.0 ,저녁,2024.05.07,함박 스테이크 향과 육즙이 미쳤어요. 너무 맛있게 잘 먹었습니다!! 여유 있으시면 예약하시는 걸 추천 드려요. 계란을 먹게 되면 풀지 말고 꼭 노른자 살려서 드세요. 저는 풀어서 먹는데 애 좀 먹었습니다.   ,"3,065"
34,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,오2꽥꽥꽥,4.2 ,저녁,2024.06.06,일본에서 먹었던 것보다 식감이 조금 아쉬웠습니다. 씹는 식감 없이 너무 흐물흐물한 느낌이었어요. 식감 외의 함박스테이크의 맛은 너무 좋았습니다. 과하지 않은 서비스 또한 좋았습니다.  ,"3,065"
35,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,꽁이z,5.0 ,저녁,2024.05.29,어렵게 예약 성공한 히키니쿠토코메 !! 모두들 친절하시구 분위기도 좋았어요 ㅎ  고기하나더 추가해서 먹었어요 배불렀지만 다먹었습니당 그리구 밥이 진짜 맛있어요!! ㅎ 최고~  ,"3,065"
36,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,enchante,4.7 ,점심,2024.05.08,"육즙이 있는 그대로 밥이랑 먹으니까 정말 맛있었어요. 백김치와 고추절임 같은 종류와 먹었을때도 깔끔했구요, 다만 환기가 잘 되지않는 것 같습니다....ㅠㅠ  ","3,065"
37,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,강직한 마스터_7801,5.0 ,저녁,2024.06.06,"미리 예약하고 가니 입장이 수월했고, 고기도 빨리 준비되어 편했습니다! 직원분들 모두 친절히 안내해주셔서 기분 좋은 식사를 했습니다  ","3,065"
38,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,조나벨,4.7 ,,2024.06.17,굉장히 맛이 훌룡했거 함바그 자체 만으로도 너무 맛있었습니다. 함바그를 구어주시는 일본분이 친절함의 끝판왕이였습니다.  ,"3,065"
39,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,혼밥하는 돼식가,5.0 ,점심,2024.05.11,가성비는 떨어지는 편이지만 직접 구어다 주셔서 편하게 잘 먹었습니다. 소스로는 청양고추절임이 취향에 맞았습니다.   ,"3,065"
40,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,개랄부,5.0 ,,2024.04.20,비오는 날 정말 운이 좋게 앞에 5팀 밖에 없었어요! 11:44에 가서 12:05에 들어갔습니다! 안이 생각보다 되게 넓구요 저는 고기추가 해서 먹었는데 대식가 아니시면 기본 3개도 충분합니다 함바그 좋아하는 사람이 아님에도 불구하고 되게 맛있게 먹었습니다  다양한 소스랑 특히 밥에 올려 먹는 간장이 진짜 맛있어요! 강추 입니다!!  ,"3,065"
41,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,화려한 마스터_22301,5.0 ,점심,2024.05.07,분위기 좋고 고기도 맛있네요. 완전 꿀맛 고기 구워주시는분이 친절하고 직원분들도 다들 너무 친절하셨어요  ,"3,065"
42,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,ranns2,4.7 ,저녁,2024.06.16,함박 육즙 장난아니에요 너무 너무 맛있게 먹었고 밥 리필까지 챙겨주시는 친절함 ㅎㅎ 재방문 할게요!  ,"3,065"
43,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,Jeeeeein,4.7 ,,2024.05.15,직원분들이 너무 친절했고 함바그도 육즙이 진짜 미쳤습니다 일본분위기느끼기에 너무 좋았습니다  ,"3,065"
44,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,외로운 식객_15413,5.0 ,점심,2024.06.01,"일본가서 기다릴 만한 맛은 아니지만, 이곳에서 예약하고 먹긴 좋습니다  ","3,065"
45,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,그레고르 잠자,4.7 ,,2024.05.09,맛 좋아요. 다만 샐러드나 음료는 가격이 필요이상 높은 듯 합니다  ,"3,065"
46,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,이네이트,5.0 ,저녁,2024.05.09,돈 많이 벌어서 함바그 6개 먹을게요 3개는 금방끝나버리네요  ,"3,065"
47,히키니쿠토코메 도산,4.5,352,다이닝바,압구정,서울특별시 강남구 선릉로155길 21 2층,점심 저녁 동일가 2 - 8만원,정종민의 식도락 여행,5.0 ,저녁,2024.05.05,재방문인데 잘먹고갑니다. 육즙 많고 아주 맛있어요  ,"3,065"
